smiles	pred_logP	target_logP
CCC(C)(C)C1CCC1C(C)CC(S)CCN	2.370911121368408	[2.25,2.75]
CC1CCCC1C(C)(CCCC1CC1)CCC(N)C1CC1	2.4487366676330566	[2.25,2.75]
CC1(CCC2(I)CCC2CC(C)(CN=NCC2(N)CC2C=S)NC=N)CC1	2.46803617477417	[2.25,2.75]
CCCCC1(CC(C)C)CC1C	2.478438377380371	[2.25,2.75]
C=CCC(C)C(C)C(CC=N)CC1CC1C	2.5612800121307373	[2.25,2.75]
C=CCC(SC(C)CNC1CC1CCC1CC1)C1(C=N)CC1N	2.3793134689331055	[2.25,2.75]
CCC1CC2(CC2)C(CCC(=O)CCN)C2CCC12	2.516488552093506	[2.25,2.75]
CC1(CC2CCCC2C=O)CC1	2.504209518432617	[2.25,2.75]
CCC(CCC(C)C=CC=N)C1CC1	2.379210948944092	[2.25,2.75]
CC(C)CC(C)(CC(=O)C=N)N=CCC1(C)CC1	2.4166316986083984	[2.25,2.75]
CCCC1CCCC1SC1C(CC2CC2)CC1CC1(S)CC1	2.5381524562835693	[2.25,2.75]
C=CC=NC1C(CCC)CCC1C1CC1(CC(C)C)C(CN)CCC	2.71073055267334	[2.25,2.75]
CC(CCC1CCC1)N=NC1(CCC2(C)CC2)CCC1	2.593262195587158	[2.25,2.75]
CC1(N)C(C#N)C1(CN)C1CCC1(S)CC=O	2.52105712890625	[2.25,2.75]
CC(CNNC1(CC2CC2)CCC1)SCC1CC1C	2.709322214126587	[2.25,2.75]
C=CCC1(CCCC(C)C(=O)C#N)CCC1[SH]=O	2.4381985664367676	[2.25,2.75]
C=CCC(C)(C)C(CCCC1CC1)C1CC1	2.498575210571289	[2.25,2.75]
CCCC(CCC)CC1(CCC(C)C2CC2)CCC1	2.397216796875	[2.25,2.75]
C=CC1CCCC1CC1(C)CC1	2.5623998641967773	[2.25,2.75]
C(=CC1CCCC1CC1CC1)C1CCCC1	2.5825161933898926	[2.25,2.75]
C=CCC1(C2C(CC=O)C2N=N)CCC1	2.529555082321167	[2.25,2.75]
CC(C)CC1C(N=N)C1(C=O)CCCCC(I)CCC1CC1	2.5074639320373535	[2.25,2.75]
C1CC(CC2(C3CCCC3CC3CC3)CCC2)C1	2.6128292083740234	[2.25,2.75]
C=CCC(Cl)C1(CC2(C)CCC2)CC1	2.4144909381866455	[2.25,2.75]
CCCC1CCCC1C(CC=N)C(C)C1CCCC1	2.373668670654297	[2.25,2.75]
CCCC1(CC(N)CC)CC1C	2.502150535583496	[2.25,2.75]
C=CCC(N=CCC(C=O)CC)=C(I)N=N	2.425304412841797	[2.25,2.75]
CC(C)(C#N)CC1CCCC1C1(CN)CCC1	2.684021472930908	[2.25,2.75]
NC1(CC2C3CCC2C2CCC(N=N3)C2C=O)CC1C=O	2.4398484230041504	[2.25,2.75]
C=CC(C)CC1CCCC1CC1CC1C	2.473255157470703	[2.25,2.75]
CC(CC=O)(C[SH]=O)C1(C(N)CC=NCC2CCC2)CC1	2.396646022796631	[2.25,2.75]
C=CCNC1(CC(CCl)C(CCC2(F)CCC2)NN)CCC1	2.399902105331421	[2.25,2.75]
CC1(CNC2CCC2(CC=O)CC2CC2)CC1	2.4738078117370605	[2.25,2.75]
CCCCCCC=CC1(CC=N)CCC1	2.481590509414673	[2.25,2.75]
CC(C)CCC(CCC1(C=N)CC1)C1CCCC1	2.5780718326568604	[2.25,2.75]
CC1(CC2CC(NC(N)=O)C2CC2CCC2)CC1	2.5119285583496094	[2.25,2.75]
CC(C)CNC1CCCC1CC(CC#N)C1CCC1	2.531388759613037	[2.25,2.75]
CCCC1CC1CCC1(CC(N)C2CC2)CCC1	2.312547206878662	[2.25,2.75]
CCCC(CC1C(CC)CCC1CCC1CC1)C1CC1	2.6041722297668457	[2.25,2.75]
CCCC(CC)C1CCC(CCBr)C1CCC	2.6157002449035645	[2.25,2.75]
CCCCCC1(CC(C)(C)CC)CCC1	2.398074150085449	[2.25,2.75]
CCCCC(CCC1CC1)C1(C)CC1CC(C)N	2.469116449356079	[2.25,2.75]
C=CC(CNCS)C1(CC)CC1	2.595926284790039	[2.25,2.75]
CC(CCCC1CC1)CC1(C(C=O)=NC#CS)CCC1	2.506481170654297	[2.25,2.75]
CCC(C=N)CCC(CC(C)C)C(C)N=CC=S	2.5402960777282715	[2.25,2.75]
CCCCCC(CC1CCC1)C(CN=CF)C1CC1	2.434926986694336	[2.25,2.75]
CCCCC=NNC=NC=CC(CC1CCC1CN)C1CC1	2.528608798980713	[2.25,2.75]
CCCC1CCCC1CCCC1(CC2(C)CC2)CCC1	2.5092720985412598	[2.25,2.75]
CC(CCC(CC(C)C1CCCC1C=S)C(C)Cl)CC1CCC1	2.569889545440674	[2.25,2.75]
CC(C)CC1CCC(O)C1C1CCCC1C1CCCC1	2.513421058654785	[2.25,2.75]
CCCCC1C(C=NCC(C)C)CCC1N=CCC(C)C	2.428797721862793	[2.25,2.75]
CC1CC1CC1(CCC=NC(=O)C(C)(C)CO)CCC1	2.4976842403411865	[2.25,2.75]
C=CC(CC1CCC1CC1CCC1)C1CC1	2.4536216259002686	[2.25,2.75]
CCC(CCC(NCC(C)CCC1CC1)C1CC1)CC(C)C1CC1	2.473557233810425	[2.25,2.75]
CCC1(CC(N)=S)CCC1C1CCCC1C(CN)C1CC1	2.4867262840270996	[2.25,2.75]
CC(N)CC(CCC1CCC1)C1(C2CCCC2O)CC1	2.4285171031951904	[2.25,2.75]
CCCC1(CC2CC2C)CC1	2.3815243244171143	[2.25,2.75]
CCCCCC(CC)C(CC1CCCC1)C(C)CC	2.491103172302246	[2.25,2.75]
C1CC(CCC2(C3CCCC3CCC3CC3)CCC2)C1	2.423112392425537	[2.25,2.75]
CC(C)(C)CC(=O)CC1(CC2(C)CC2)CC1	2.5533432960510254	[2.25,2.75]
CCCCC(CC)CC1C(C)CCC1CC(C)C(=O)C=NN	2.5680179595947266	[2.25,2.75]
C=CCC(CCC1CC1)C1(C(N)=S)CC1	2.508826732635498	[2.25,2.75]
CCCC(C1CC1)C1(CC2CC2)CCC1	2.555711269378662	[2.25,2.75]
CCC(CCC1CC1)CC(C)C(CF)C(=O)Br	2.5319900512695312	[2.25,2.75]
C=CCC(CC(CCC1CCC1)C(C)CCC)C(C)C	2.4659433364868164	[2.25,2.75]
CCCC(C)CCC(CC(C1CCCC1)C1CC1)C1CC1	2.5710434913635254	[2.25,2.75]
CC(N)CCC1(Br)C(N)C1(C)C1(CN)CC1C	2.612488269805908	[2.25,2.75]
CCC(CCC1CC1)OC1CCC(C2CC2C=CCC2CCC2)C1N	2.484513998031616	[2.25,2.75]
CC(Cl)(CN=CSF)CC1(CCC2CCC2)CCC1	2.4568047523498535	[2.25,2.75]
SC1CCCC1CC1(C2CCCC2CCC2CC2)CCC1	2.6513965129852295	[2.25,2.75]
CC1CC1(CC=CC1(CN)CCC1)NCCC1CC1	2.3834855556488037	[2.25,2.75]
CCC1CCCC1CC1(CCC2CC2)CC1	2.478684663772583	[2.25,2.75]
C#CNC1(C(F)CCC2CC2C)CC1	2.5277585983276367	[2.25,2.75]
CCC(C=CN)CC1(CC=NOCC2CC2)CC1	2.4800620079040527	[2.25,2.75]
CCCC(C)(C)SC(CBr)C(C)C1(CN)CCC1	2.4180617332458496	[2.25,2.75]
CCC(Br)CCC(C)(C)N=NC1CCC1C1CCC1N	2.4464077949523926	[2.25,2.75]
CC1(C)CN=CCC12CCC2	2.5758938789367676	[2.25,2.75]
CC1(CC2CCCC2C=O)CC1	2.504209518432617	[2.25,2.75]
CC(C)CC1CCCC1CC1(CCC2CCC2)CC1	2.53892183303833	[2.25,2.75]
CCCC(CC=N)CC(C)C(N)CC1CCCC1C=O	2.4305973052978516	[2.25,2.75]
SN=NC1CC(C2(CCC3CCC3)CC2)C1NC1CC1	2.544022560119629	[2.25,2.75]
C=CCC(C)(C=C)CCCCCC	2.582035541534424	[2.25,2.75]
CCC1(CCCN=CC(=O)O)CC1Cl	2.486452102661133	[2.25,2.75]
CC1(CCC2(CC3CCC3)CC2)CC1	2.4447438716888428	[2.25,2.75]
CCCC=C(C=O)CCC1CC1	2.4675631523132324	[2.25,2.75]
CC1CC1CNC1C(N)CCC1C(C)(C)CC1CC1	2.513171672821045	[2.25,2.75]
C=CC=CC(=S)C=O	2.4251532554626465	[2.25,2.75]
C#CC(=C(N)CC1CCC1)C(N)SC=O	2.541208267211914	[2.25,2.75]
NC1CC(CC2CC2)C1C1CCCC1CC1CCC1	2.466529369354248	[2.25,2.75]
CC(CI)CC1(CC2CCCC2)CC1C	2.563222885131836	[2.25,2.75]
CCC(CC1CCC1)CC1CCC(C)C1C=N	2.4656715393066406	[2.25,2.75]
C=CC1CCC(C2CCC2)C1C1(C(C=O)CN)CC1	2.572200059890747	[2.25,2.75]
CC1CC1(C=N)CC1CCCC1	2.4104788303375244	[2.25,2.75]
